“nameKey”,”City”,”TeamName”,”colour1”,”colour2”,”colour3”
AZ,ARIZONA,CARDINALS,#9B2743,#000000,NA
ATL,ATLANTA,FALCONS,#A6192D,#000000,NA
BAL,BALTIMORE,RAVENS,#280353,#000000,#D0B240
BUF,BUFFALO,BILLS,#00338D,#C60C30,NA
CAR,CAROLINA,PANTHERS,#0088CE,#000000,#A5ACAF
CHI,CHICAGO,BEARS,#151431,#DD4814,NA
CIN,CINCINNATI,BENGALS,#FB4F14,#000000,NA
CLE,CLEVELAND,BROWNS,#512F2D,#FE3C00,NA
DAL,DALLAS,COWBOYS,#0D254C,#87909B,#FFFFFF
DEN,DENVER,BRONCOS,#FB4F14,#002244,NA
DET,DETROIT,LIONS,#006DB0,#C5C7CF, #000000
GB,GREEN BAY,PACKERS,#203731,#FFB612,NA
HOU,HOUSTON,TEXANS,#02253A,#B31B34,NA
IND,INDIANAPOLIS,COLTS,#003B7B,#FFFFFF,NA
JAX,JACKSONVILLE,JAGUARS,#9F792C,#000000,#D7A22A
KS,KANSAS CITY,CHIEFS,#B20032,#F2C800,NA
LA,LOS ANGELES,RAMS,#13264B,#C9AF74,NA
MIA,MIAMI,DOLPHINS,#008D97,#F5811F,NA
MIN,MINNESOTA,VIKINGS,#582C81,#F0BF00,NA
NE,NEW ENGLAND,PATRIOTS,#0D254C,#C80815,#D6D6D6
NO,NEW ORLEANS,SAINTS,#D2B887,#D3A205, NA
NYG,NEW YORK,GIANTS,#192F6B,#CA001A,#A2AAAD
NYJ,NEW YORK,JETS,#0C371D,#FFFFFF,NA
OAK,OAKLAND,RAIDERS,#000000,#C4C8CB,NA
PHI,PHILADELPHIA,EAGLES,#003B48,#D3A205,#708090
PIT,PITTSBURGH,STEELERS,#FFB612,#000000,NA
SD,SAN DIEGO,CHARGERS,#0C2340,#FFB81C,#0072CE
SF,SAN FRANCISCO,49ERS,#AF1E2C,#E6BE8A,NA
SEA,SEATTLE,SEAHAWKS,#D60A0B,#D3A205,#89765F
TB,TAMPA BAY,BUCCANEERS,#D60A0B,#D3A205,#89765F
TEN,TENNESSEE,TITANS,#648FCC,#0D254C,NA
WAS,WASHINGTON,REDSKINS,#773141,#FFB612,#FFFFFF

